"Date","Price","Open","High","Low","Vol.","Change %"
"17-10-2024","84.021","84.040","84.088","84.018","","-0.01%"
"16-10-2024","84.030","84.052","84.102","83.975","","-0.01%"
"15-10-2024","84.040","84.065","84.087","84.015","","-0.01%"
"14-10-2024","84.045","84.070","84.105","84.022","","-0.07%"
"11-10-2024","84.101","83.965","84.121","83.942","","0.19%"
"10-10-2024","83.940","83.939","83.992","83.931","","-0.01%"
"09-10-2024","83.950","83.917","83.965","83.888","","0.01%"
"08-10-2024","83.945","83.942","83.988","83.905","","-0.04%"
"07-10-2024","83.980","83.978","83.997","83.934","","-0.05%"
"04-10-2024","84.023","83.972","84.023","83.924","","0.04%"
"03-10-2024","83.990","83.922","84.009","83.890","","0.08%"
"02-10-2024","83.920","83.903","83.992","83.832","","0.02%"
"01-10-2024","83.900","83.823","83.924","83.772","","0.17%"
"30-09-2024","83.755","83.667","83.810","83.664","","0.05%"
"27-09-2024","83.710","83.617","83.713","83.579","","0.13%"
"26-09-2024","83.601","83.615","83.715","83.584","","0.00%"
"25-09-2024","83.600","83.600","83.640","83.496","","0.00%"
"24-09-2024","83.600","83.543","83.670","83.513","","0.08%"
"23-09-2024","83.530","83.476","83.552","83.435","","0.05%"
"20-09-2024","83.485","83.615","83.632","83.453","","-0.16%"
"19-09-2024","83.620","83.684","83.744","83.545","","-0.04%"
"18-09-2024","83.650","83.759","83.801","83.633","","-0.12%"
"17-09-2024","83.747","83.902","83.909","83.679","","-0.11%"
"16-09-2024","83.840","83.871","83.914","83.817","","-0.05%"
"13-09-2024","83.880","83.922","83.949","83.827","","-0.05%"
"12-09-2024","83.920","83.990","83.991","83.898","","-0.05%"
"11-09-2024","83.960","83.975","83.983","83.912","","0.01%"
"10-09-2024","83.949","83.977","83.986","83.940","","0.03%"
"09-09-2024","83.928","83.940","83.980","83.907","","-0.07%"
"06-09-2024","83.985","83.983","83.985","83.891","","0.03%"
"05-09-2024","83.961","83.974","83.985","83.944","","0.00%"
"04-09-2024","83.960","83.982","83.992","83.926","","0.01%"
"03-09-2024","83.950","83.914","83.967","83.875","","0.08%"
"02-09-2024","83.880","83.870","83.933","83.845","","0.02%"
"30-08-2024","83.867","83.864","83.900","83.790","","-0.02%"
"29-08-2024","83.880","83.939","83.942","83.827","","-0.02%"
"28-08-2024","83.900","83.955","83.967","83.899","","-0.01%"
"27-08-2024","83.910","83.865","83.950","83.865","","0.08%"
"26-08-2024","83.840","83.801","83.910","83.776","","0.04%"
"23-08-2024","83.809","83.913","83.933","83.778","","-0.14%"
"22-08-2024","83.930","83.895","83.965","83.876","","0.07%"
"21-08-2024","83.870","83.791","83.935","83.726","","0.14%"
"20-08-2024","83.750","83.800","83.875","83.711","","-0.12%"
"19-08-2024","83.850","83.860","83.935","83.814","","-0.04%"
"16-08-2024","83.880","83.940","83.965","83.875","","-0.07%"
"15-08-2024","83.940","83.958","83.989","83.912","","-0.02%"
"14-08-2024","83.960","83.891","83.967","83.891","","0.06%"
"13-08-2024","83.910","83.931","83.970","83.893","","-0.02%"
"12-08-2024","83.930","83.894","83.973","83.894","","-0.02%"
"09-08-2024","83.945","83.987","83.989","83.863","","-0.05%"
"08-08-2024","83.990","83.922","83.990","83.915","","0.13%"
"07-08-2024","83.885","83.950","83.986","83.872","","-0.05%"
"06-08-2024","83.930","83.991","83.991","83.828","","-0.10%"
"05-08-2024","84.018","83.788","84.165","83.753","","0.27%"
"02-08-2024","83.794","83.748","83.795","83.703","","0.10%"
"01-08-2024","83.710","83.700","83.745","83.645","","0.01%"
"31-07-2024","83.699","83.734","83.751","83.629","","-0.02%"
"30-07-2024","83.720","83.741","83.759","83.683","","-0.03%"
"29-07-2024","83.748","83.697","83.759","83.695","","0.05%"
"26-07-2024","83.703","83.755","83.755","83.683","","-0.02%"
"25-07-2024","83.720","83.740","83.784","83.634","","0.01%"
"24-07-2024","83.710","83.680","83.720","83.663","","0.04%"
"23-07-2024","83.676","83.654","83.715","83.597","","0.03%"
"22-07-2024","83.651","83.711","83.712","83.625","","-0.09%"
"19-07-2024","83.724","83.638","83.725","83.580","","0.17%"
"18-07-2024","83.580","83.571","83.662","83.550","","0.00%"
"17-07-2024","83.580","83.523","83.580","83.474","","0.07%"
"16-07-2024","83.524","83.570","83.603","83.521","","-0.03%"
"15-07-2024","83.551","83.502","83.610","83.481","","0.05%"
"12-07-2024","83.513","83.493","83.552","83.457","","0.01%"
"11-07-2024","83.507","83.490","83.592","83.460","","0.00%"
"10-07-2024","83.510","83.487","83.525","83.449","","0.05%"
"09-07-2024","83.465","83.453","83.510","83.447","","-0.04%"
"08-07-2024","83.500","83.490","83.502","83.428","","0.00%"
"05-07-2024","83.500","83.475","83.520","83.449","","0.03%"
"04-07-2024","83.475","83.490","83.558","83.451","","-0.05%"
"03-07-2024","83.520","83.470","83.555","83.414","","0.02%"
"02-07-2024","83.500","83.435","83.565","83.404","","0.07%"
"01-07-2024","83.438","83.356","83.465","83.344","","0.10%"
"28-06-2024","83.355","83.453","83.488","83.313","","-0.10%"
"27-06-2024","83.438","83.574","83.591","83.393","","-0.15%"
"26-06-2024","83.560","83.424","83.610","83.408","","0.19%"
"25-06-2024","83.403","83.432","83.497","83.380","","-0.06%"
"24-06-2024","83.450","83.558","83.571","83.392","","-0.13%"
"21-06-2024","83.558","83.631","83.631","83.469","","-0.07%"
"20-06-2024","83.620","83.417","83.665","83.412","","0.19%"
"19-06-2024","83.460","83.369","83.478","83.335","","0.16%"
"18-06-2024","83.330","83.493","83.550","83.303","","-0.20%"
"17-06-2024","83.500","83.518","83.550","83.486","","-0.06%"
"14-06-2024","83.547","83.526","83.569","83.504","","0.01%"
"13-06-2024","83.540","83.489","83.556","83.477","","0.13%"
"12-06-2024","83.430","83.591","83.598","83.419","","-0.20%"
"11-06-2024","83.600","83.501","83.622","83.475","","0.12%"
"10-06-2024","83.500","83.501","83.539","83.456","","-0.03%"
"07-06-2024","83.521","83.467","83.521","83.358","","0.07%"
"06-06-2024","83.466","83.385","83.507","83.346","","0.11%"
"05-06-2024","83.370","83.534","83.569","83.265","","-0.18%"
"04-06-2024","83.524","83.091","83.649","83.080","","0.53%"
"03-06-2024","83.083","83.119","83.168","82.948","","-0.41%"
"31-05-2024","83.424","83.301","83.478","83.230","","0.17%"
"30-05-2024","83.280","83.351","83.438","83.231","","-0.07%"
"29-05-2024","83.340","83.168","83.396","83.155","","0.22%"
"28-05-2024","83.160","83.132","83.190","83.098","","0.07%"
"27-05-2024","83.102","83.040","83.135","83.018","","0.05%"
"24-05-2024","83.060","83.265","83.295","83.004","","-0.22%"
"23-05-2024","83.240","83.281","83.305","83.171","","0.02%"
"22-05-2024","83.220","83.319","83.319","83.195","","-0.04%"
"21-05-2024","83.250","83.292","83.360","83.211","","-0.04%"
"20-05-2024","83.280","83.297","83.309","83.206","","0.00%"
"17-05-2024","83.280","83.485","83.501","83.257","","-0.20%"
"16-05-2024","83.450","83.411","83.505","83.399","","0.05%"
"15-05-2024","83.411","83.493","83.523","83.400","","-0.08%"
"14-05-2024","83.482","83.506","83.535","83.457","","0.03%"
